2021-10-01,41,36635
2021-10-02,25,36660
2021-10-03,24,36684
2021-10-04,26,36710
2021-10-05,29,36739
2021-10-06,34,36773
2021-10-07,34,36807
2021-10-08,39,36846
2021-10-09,18,36864
2021-10-10,21,36885
2021-10-11,35,36920
2021-10-12,41,36961
2021-10-13,37,36998
2021-10-14,34,37032
2021-10-15,53,37085
2021-10-16,29,37114
2021-10-17,38,37152
2021-10-18,68,37220
2021-10-19,52,37272
2021-10-20,48,37320
2021-10-21,50,37370
2021-10-22,0,37370
